Category,City,Country,Customer ID,Customer Name,Market,Order Date,Order ID,Order Priority,Product ID,Product Name,Region,Row ID,Segment,Ship Date,Ship Mode,State,Sub-Category,Year (OrderDate),Discount,Number of Records,Profit,Quantity,Sales,Shipping Cost
Technology,Melbourne,Australia,GR-145601,Georgia Rosenberg,APAC,1/22/2015,IN-2014-24447,High,TEC-CO-10003702,"Brother Ink, Digital",Oceania,25226,Corporate,1/23/2015,First Class,Victoria,Copiers,2015,0.1,1,114.612,2,264.492,44.46
Office Supplies,Caloundra,Australia,AO-108101,Anthony O'Donnell,APAC,1/23/2015,ID-2014-33050,Medium,OFF-FA-10004698,"Stockwell Staples, Metal",Oceania,22980,Corporate,1/29/2015,Standard Class,Queensland,Fasteners,2015,0.1,1,-5.271,7,66.339,4.17
Technology,Canberra,Australia,LE-168101,Laurel Elliston,APAC,1/24/2015,ID-2014-52545,High,TEC-AC-10001352,"SanDisk Numeric Keypad, Bluetooth",Oceania,25756,Consumer,1/28/2015,Standard Class,Australian Capital Territory,Accessories,2015,0.4,1,-112.56,7,232.47,21.75
Office Supplies,Newcastle,Australia,RW-196301,Rob Williams,APAC,1/24/2015,IN-2014-47295,Medium,OFF-FA-10003161,"OIC Paper Clips, Assorted Sizes",Oceania,20977,Corporate,1/30/2015,Standard Class,New South Wales,Fasteners,2015,0.1,1,3.672,1,10.692,0.65
Office Supplies,Hobart,Australia,RB-197951,Ross Baird,APAC,1/24/2015,ID-2014-71039,High,OFF-LA-10002523,"Smead Removable Labels, Laser Printer Compatible",Oceania,26232,Home Office,1/26/2015,First Class,Tasmania,Labels,2015,0.4,1,-10.206,7,43.344,16.12
Technology,Hobart,Australia,RB-197951,Ross Baird,APAC,1/24/2015,ID-2014-71039,High,TEC-MA-10004116,"StarTech Inkjet, Wireless",Oceania,26231,Home Office,1/26/2015,First Class,Tasmania,Machines,2015,0.4,1,-117.756,1,181.134,12.92
Technology,Ballarat,Australia,ND-184601,Neil Ducich,APAC,1/25/2015,IN-2014-70059,Low,TEC-CO-10002376,"Hewlett Fax Machine, Laser",Oceania,26534,Corporate,2/1/2015,Standard Class,Victoria,Copiers,2015,0.1,1,243.096,2,575.856,95.52
Furniture,Townsville,Australia,AH-105851,Angele Hood,APAC,1/29/2015,IN-2014-25014,High,FUR-BO-10004842,"Dania 3-Shelf Cabinet, Pine",Oceania,24647,Consumer,2/2/2015,Standard Class,Queensland,Bookcases,2015,0.1,1,274.08,8,1028.16,198.47
Furniture,Townsville,Australia,AH-105851,Angele Hood,APAC,1/29/2015,IN-2014-25014,High,FUR-BO-10003282,"Ikea Classic Bookcase, Mobile",Oceania,24646,Consumer,2/2/2015,Standard Class,Queensland,Bookcases,2015,0.1,1,455.565,5,1864.215,239.83
Furniture,Wollongong,Australia,SG-208901,Susan Gilcrest,APAC,1/31/2015,ID-2014-23201,Medium,FUR-BO-10001934,"Bush Library with Doors, Metal",Oceania,26190,Corporate,2/5/2015,Standard Class,New South Wales,Bookcases,2015,0.1,1,-14.556,2,654.804,30.47
Office Supplies,Wollongong,Australia,SG-208901,Susan Gilcrest,APAC,1/31/2015,ID-2014-23201,Medium,OFF-AR-10003673,"Sanford Markers, Fluorescent",Oceania,26187,Corporate,2/5/2015,Standard Class,New South Wales,Art,2015,0.1,1,-1.971,1,22.059,1.46
Office Supplies,Wollongong,Australia,SG-208901,Susan Gilcrest,APAC,1/31/2015,ID-2014-23201,Medium,OFF-BI-10000305,"Wilson Jones Index Tab, Durable",Oceania,26188,Corporate,2/5/2015,Standard Class,New South Wales,Binders,2015,0.1,1,0.615,1,7.155,0.27
Office Supplies,Wollongong,Australia,SG-208901,Susan Gilcrest,APAC,1/31/2015,ID-2014-23201,Medium,OFF-BI-10003475,"Wilson Jones Index Tab, Recycled",Oceania,26189,Corporate,2/5/2015,Standard Class,New South Wales,Binders,2015,0.1,1,17.073,7,42.903,1.69
Furniture,Gold Coast,Australia,JG-151151,Jack Garza,APAC,1/31/2015,IN-2014-52097,High,FUR-FU-10001078,"Advantus Clock, Durable",Oceania,24799,Consumer,2/5/2015,Standard Class,Queensland,Furnishings,2015,0.1,1,55.59,5,217.89,23.07
Office Supplies,Townsville,Australia,JS-156851,Jim Sink,APAC,1/31/2015,IN-2014-11763,Critical,OFF-AR-10002389,"Binney & Smith Pens, Fluorescent",Oceania,22095,Corporate,2/1/2015,First Class,Queensland,Art,2015,0.1,1,4.5,5,59.4,16.44
Technology,Townsville,Australia,JS-156851,Jim Sink,APAC,1/31/2015,IN-2014-11763,Critical,TEC-CO-10000865,"Brother Fax Machine, High-Speed",Oceania,22096,Corporate,2/1/2015,First Class,Queensland,Copiers,2015,0.1,1,28.404,9,2565.594,766.93
Furniture,Cessnock,Australia,CS-121751,Charles Sheldon,APAC,2/4/2015,ID-2014-59636,Medium,FUR-CH-10001147,"Hon Swivel Stool, Adjustable",Oceania,29890,Corporate,2/11/2015,Standard Class,New South Wales,Chairs,2015,0.1,1,-3.348,2,299.052,25.64
Office Supplies,Geelong,Australia,JH-159101,Jonathan Howell,APAC,2/4/2015,IN-2014-25679,Medium,OFF-ST-10000344,"Fellowes Box, Industrial",Oceania,25162,Consumer,2/8/2015,Standard Class,Victoria,Storage,2015,0.1,1,10.242,3,54.432,2.69
Office Supplies,Melbourne,Australia,EH-141251,Eugene Hildebrand,APAC,2/4/2015,IN-2014-57403,High,OFF-FA-10000136,"Accos Paper Clips, Assorted Sizes",Oceania,22784,Home Office,2/8/2015,Standard Class,Victoria,Fasteners,2015,0.1,1,1.638,3,37.908,4.28
Office Supplies,Bunbury,Australia,KB-165851,Ken Black,APAC,2/5/2015,IN-2014-46665,Medium,OFF-AP-10001815,"Hoover Refrigerator, Black",Oceania,24715,Corporate,2/9/2015,Standard Class,Western Australia,Appliances,2015,0.1,1,110.313,3,1419.363,79.01
Office Supplies,Bunbury,Australia,KB-165851,Ken Black,APAC,2/5/2015,IN-2014-46665,Medium,OFF-BI-10004589,"Avery Binding Machine, Economy",Oceania,24717,Corporate,2/9/2015,Standard Class,Western Australia,Binders,2015,0.1,1,25.038,13,571.428,29.43
Office Supplies,Bunbury,Australia,KB-165851,Ken Black,APAC,2/5/2015,IN-2014-46665,Medium,OFF-EN-10000328,"Kraft Business Envelopes, Set of 50",Oceania,24718,Corporate,2/9/2015,Standard Class,Western Australia,Envelopes,2015,0.1,1,16.776,3,53.946,3.72
Office Supplies,Bunbury,Australia,KB-165851,Ken Black,APAC,2/5/2015,IN-2014-46665,Medium,OFF-SU-10001573,"Kleencut Shears, Serrated",Oceania,24716,Corporate,2/9/2015,Standard Class,Western Australia,Supplies,2015,0.1,1,-3.534,2,78.246,5.57
Furniture,Canberra,Australia,TZ-214451,Tom Zandusky,APAC,2/7/2015,ID-2014-22270,Medium,FUR-BO-10003046,"Safco Library with Doors, Mobile",Oceania,24415,Corporate,2/11/2015,Second Class,Australian Capital Territory,Bookcases,2015,0.4,1,-117.702,3,706.158,65.18
Office Supplies,Canberra,Australia,TZ-214451,Tom Zandusky,APAC,2/7/2015,ID-2014-22270,Medium,OFF-BI-10001293,"Acco 3-Hole Punch, Clear",Oceania,24416,Corporate,2/11/2015,Second Class,Australian Capital Territory,Binders,2015,0.4,1,-57.81,5,88.74,10.31
Office Supplies,Canberra,Australia,TZ-214451,Tom Zandusky,APAC,2/7/2015,ID-2014-22270,Medium,OFF-FA-10004027,"OIC Staples, Bulk Pack",Oceania,24417,Corporate,2/11/2015,Second Class,Australian Capital Territory,Fasteners,2015,0.4,1,-3.996,1,6.804,0.45
Office Supplies,Canberra,Australia,TZ-214451,Tom Zandusky,APAC,2/7/2015,ID-2014-22270,Medium,OFF-SU-10001770,"Acme Scissors, Easy Grip",Oceania,24418,Corporate,2/11/2015,Second Class,Australian Capital Territory,Supplies,2015,0.4,1,1.572,2,32.472,0.76
Office Supplies,Perth,Australia,DL-133301,Denise Leinenbach,APAC,2/10/2015,IN-2014-50053,Medium,OFF-LA-10004756,"Avery Removable Labels, Laser Printer Compatible",Oceania,23021,Consumer,2/15/2015,Standard Class,Western Australia,Labels,2015,0.1,1,19.836,6,57.996,2.98
Furniture,Perth,Australia,LT-171101,Liz Thompson,APAC,2/10/2015,ID-2014-35374,Medium,FUR-CH-10003512,"Novimex Bag Chairs, Set of Two",Oceania,21480,Consumer,2/14/2015,Second Class,Western Australia,Chairs,2015,0.1,1,44.316,4,173.556,10.19
Furniture,Perth,Australia,LT-171101,Liz Thompson,APAC,2/10/2015,ID-2014-35374,Medium,FUR-FU-10001674,"Deflect-O Clock, Duo Pack",Oceania,21478,Consumer,2/14/2015,Second Class,Western Australia,Furnishings,2015,0.1,1,140.904,8,362.664,36.4
Office Supplies,Perth,Australia,LT-171101,Liz Thompson,APAC,2/10/2015,ID-2014-35374,Medium,OFF-FA-10001057,"Accos Clamps, Assorted Sizes",Oceania,21479,Consumer,2/14/2015,Second Class,Western Australia,Fasteners,2015,0.1,1,4.668,4,60.588,5.46
Office Supplies,Perth,Australia,LT-171101,Liz Thompson,APAC,2/10/2015,ID-2014-35374,Medium,OFF-ST-10004496,"Tenex Box, Blue",Oceania,21477,Consumer,2/14/2015,Second Class,Western Australia,Storage,2015,0.1,1,-5.85,5,74.25,6.05
Technology,Perth,Australia,LT-171101,Liz Thompson,APAC,2/10/2015,ID-2014-35374,Medium,TEC-MA-10002134,"Konica Inkjet, Wireless",Oceania,21481,Consumer,2/14/2015,Second Class,Western Australia,Machines,2015,0.1,1,62.664,4,1128.384,47.89
Office Supplies,Sydney,Australia,RD-196601,Robert Dilbeck,APAC,2/11/2015,IN-2014-52916,Medium,OFF-AR-10000681,"Binney & Smith Sketch Pad, Water Color",Oceania,21291,Home Office,2/17/2015,Standard Class,New South Wales,Art,2015,0.1,1,11.88,6,267.3,9.42
Furniture,Darwin,Australia,HK-148901,Heather Kirkland,APAC,2/11/2015,ID-2014-13695,High,FUR-TA-10004484,"Barricks Wood Table, Adjustable Height",Oceania,24830,Corporate,2/15/2015,Standard Class,Northern Territory,Tables,2015,0.3,1,-98.646,1,363.384,54.76
Office Supplies,Darwin,Australia,HK-148901,Heather Kirkland,APAC,2/11/2015,ID-2014-13695,High,OFF-EN-10000139,"Kraft Interoffice Envelope, Set of 50",Oceania,24831,Corporate,2/15/2015,Standard Class,Northern Territory,Envelopes,2015,0.1,1,14.004,3,126.684,12.41
Furniture,Brisbane,Australia,DM-135251,Don Miller,APAC,2/11/2015,IN-2014-58635,Medium,FUR-FU-10000482,"Eldon Photo Frame, Duo Pack",Oceania,27304,Corporate,2/15/2015,Standard Class,Queensland,Furnishings,2015,0.1,1,19.746,2,104.706,7.32
Office Supplies,Whyalla,Australia,CC-125501,Clay Cheatham,APAC,2/11/2015,IN-2014-59426,Critical,OFF-BI-10004685,"Acco Binder, Economy",Oceania,30083,Consumer,2/11/2015,Same Day,South Australia,Binders,2015,0.1,1,15.825,5,68.175,20.89
Office Supplies,Whyalla,Australia,CC-125501,Clay Cheatham,APAC,2/11/2015,IN-2014-59426,Critical,OFF-PA-10000731,"Enermax Parchment Paper, 8.5 x 11",Oceania,30084,Consumer,2/11/2015,Same Day,South Australia,Paper,2015,0.1,1,9.891,3,52.731,23.39
Technology,Whyalla,Australia,CC-125501,Clay Cheatham,APAC,2/11/2015,IN-2014-59426,Critical,TEC-CO-10003448,"Canon Personal Copier, Laser",Oceania,30082,Consumer,2/11/2015,Same Day,South Australia,Copiers,2015,0.1,1,182.688,8,1027.728,332.2
Office Supplies,Melbourne,Australia,CR-126251,Corey Roper,APAC,2/11/2015,IN-2014-13520,Medium,OFF-LA-10000869,"Harbour Creations Removable Labels, Adjustable",Oceania,26321,Home Office,2/14/2015,Second Class,Victoria,Labels,2015,0.1,1,13.38,5,48.33,5.18
Furniture,Brisbane,Australia,AM-107051,Anne McFarland,APAC,2/12/2015,IN-2014-34317,Medium,FUR-BO-10001372,"Safco Classic Bookcase, Pine",Oceania,27779,Consumer,2/14/2015,Second Class,Queensland,Bookcases,2015,0.1,1,-39.6,3,1186.65,77.32
Office Supplies,Brisbane,Australia,AM-107051,Anne McFarland,APAC,2/12/2015,IN-2014-34317,Medium,OFF-BI-10003309,"Wilson Jones Binder Covers, Clear",Oceania,27778,Consumer,2/14/2015,Second Class,Queensland,Binders,2015,0.1,1,7.875,5,47.925,2.12
Office Supplies,Brisbane,Australia,AM-107051,Anne McFarland,APAC,2/12/2015,IN-2014-34317,Medium,OFF-BI-10003309,"Wilson Jones Binder Covers, Clear",Oceania,27782,Consumer,2/14/2015,Second Class,Queensland,Binders,2015,0.1,1,1.575,1,9.585,0.86
Technology,Brisbane,Australia,AM-107051,Anne McFarland,APAC,2/12/2015,IN-2014-34317,Medium,TEC-AC-10002244,"Enermax Router, Ergonomic",Oceania,27780,Consumer,2/14/2015,Second Class,Queensland,Accessories,2015,0.1,1,276.534,9,2074.734,294.73
Technology,Brisbane,Australia,AM-107051,Anne McFarland,APAC,2/12/2015,IN-2014-34317,Medium,TEC-AC-10003659,"Memorex Memory Card, Programmable",Oceania,27783,Consumer,2/14/2015,Second Class,Queensland,Accessories,2015,0.1,1,8.286,2,186.786,10.82
Technology,Brisbane,Australia,AM-107051,Anne McFarland,APAC,2/12/2015,IN-2014-34317,Medium,TEC-PH-10003891,"Cisco Audio Dock, with Caller ID",Oceania,27781,Consumer,2/14/2015,Second Class,Queensland,Phones,2015,0.1,1,240.252,4,655.452,84.31
Furniture,Melbourne,Australia,GR-145601,Georgia Rosenberg,APAC,2/12/2015,IN-2014-23621,Medium,FUR-FU-10001452,"Rubbermaid Door Stop, Black",Oceania,21173,Corporate,2/17/2015,Standard Class,Victoria,Furnishings,2015,0.1,1,2.61,1,39.42,2.92
Office Supplies,Melbourne,Australia,GR-145601,Georgia Rosenberg,APAC,2/12/2015,IN-2014-23621,Medium,OFF-BI-10004553,"Cardinal Binder, Clear",Oceania,21176,Corporate,2/17/2015,Standard Class,Victoria,Binders,2015,0.1,1,21.204,4,47.844,2.7
Office Supplies,Melbourne,Australia,GR-145601,Georgia Rosenberg,APAC,2/12/2015,IN-2014-23621,Medium,OFF-BI-10004120,"Ibico 3-Hole Punch, Durable",Oceania,21174,Corporate,2/17/2015,Standard Class,Victoria,Binders,2015,0.1,1,8.91,2,57.51,4.38
Office Supplies,Melbourne,Australia,GR-145601,Georgia Rosenberg,APAC,2/12/2015,IN-2014-23621,Medium,OFF-SU-10004306,"Kleencut Trimmer, Steel",Oceania,21175,Corporate,2/17/2015,Standard Class,Victoria,Supplies,2015,0.1,1,-14.778,6,220.482,14.45
Furniture,Gold Coast,Australia,RW-196901,Robert Waldorf,APAC,2/13/2015,IN-2014-37117,Medium,FUR-BO-10002423,"Safco Floating Shelf Set, Mobile",Oceania,22714,Consumer,2/19/2015,Standard Class,Queensland,Bookcases,2015,0.1,1,75.708,2,358.668,24.92
Office Supplies,Gold Coast,Australia,RW-196901,Robert Waldorf,APAC,2/13/2015,IN-2014-37117,Medium,OFF-BI-10004685,"Acco Binder, Economy",Oceania,22715,Consumer,2/19/2015,Standard Class,Queensland,Binders,2015,0.1,1,9.495,3,40.905,2.95
Technology,Gold Coast,Australia,RW-196901,Robert Waldorf,APAC,2/13/2015,IN-2014-37117,Medium,TEC-AC-10001840,"SanDisk Mouse, Ergonomic",Oceania,22716,Consumer,2/19/2015,Standard Class,Queensland,Accessories,2015,0.1,1,36.828,6,195.048,12.18
Office Supplies,Gold Coast,Australia,CL-118901,Carl Ludwig,APAC,2/13/2015,IN-2014-47568,Medium,OFF-SU-10003343,"Fiskars Scissors, Serrated",Oceania,21594,Consumer,2/18/2015,Standard Class,Queensland,Supplies,2015,0.1,1,11.088,2,35.748,2.28
Technology,Hobart,Australia,ED-138851,Emily Ducich,APAC,2/13/2015,IN-2014-10769,Medium,TEC-AC-10003217,"Enermax Keyboard, USB",Oceania,25574,Home Office,2/19/2015,Standard Class,Tasmania,Accessories,2015,0.4,1,-37.674,3,150.606,8.16
Furniture,Geelong,Australia,CT-119951,Carol Triggs,APAC,2/13/2015,ID-2014-21220,High,FUR-CH-10000391,"Novimex Bag Chairs, Red",Oceania,26017,Consumer,2/17/2015,Standard Class,Victoria,Chairs,2015,0.1,1,-2.808,3,124.092,7.38
Technology,Melbourne,Australia,RD-198101,Ross DeVincentis,APAC,2/13/2015,IN-2014-28500,High,TEC-PH-10001002,"Apple Signal Booster, Full Size",Oceania,27674,Home Office,2/17/2015,Standard Class,Victoria,Phones,2015,0.1,1,79.992,2,248.292,19.34
Furniture,Brisbane,Australia,RA-199451,Ryan Akin,APAC,2/15/2015,ID-2014-15795,Medium,FUR-CH-10002412,"Hon Bag Chairs, Black",Oceania,24142,Consumer,2/18/2015,Second Class,Queensland,Chairs,2015,0.1,1,-7.704,2,76.896,9.23
Furniture,Caloundra,Australia,EB-141101,Eugene Barchas,APAC,2/15/2015,IN-2014-60616,Medium,FUR-FU-10002848,"Advantus Stacking Tray, Black",Oceania,26579,Consumer,2/17/2015,Second Class,Queensland,Furnishings,2015,0.1,1,26.385,5,118.935,10.09
Office Supplies,Caloundra,Australia,EB-141101,Eugene Barchas,APAC,2/15/2015,IN-2014-60616,Medium,OFF-BI-10004986,"Ibico 3-Hole Punch, Recycled",Oceania,26577,Consumer,2/17/2015,Second Class,Queensland,Binders,2015,0.1,1,91.032,8,221.832,17.52
